dataset1,dataset2,n_common_1,n_total_1,n_common_0,n_total_0,n_common_all,n_total_all
hateval_aggression,founta_hateful,2849,7424,11129,20669,12157,24953
hateval_aggression,toxicity_insult,3340,7424,11552,20669,12597,24953
hateval_aggression,toxicity_identityhate,2112,7424,11601,20669,12597,24953
hateval_aggression,toxicity_severetoxic,1768,7424,11597,20669,12597,24953
hateval_aggression,stormfront_post,2094,7424,5430,20669,6254,24953
hateval_aggression,zeerak_hate,2555,7424,5500,20669,6720,24953
hateval_aggression,trac_overt,2706,7424,6565,20669,7476,24953
hateval_aggression,trac_aggr,3250,7424,5351,20669,7476,24953
hateval_aggression,hateval_hate,7424,7424,16858,20669,24953,24953
hateval_aggression,toxicity_toxic,3898,7424,11481,20669,12597,24953
hateval_aggression,offenseval,3303,7424,7148,20669,8560,24953
zeerak_racism,stormfront_sentence,1243,4142,5265,18602,5758,20012
zeerak_racism,hateval_aggression,1587,4142,6145,18602,6720,20012
zeerak_racism,zeerak_racism,4142,4142,18602,18602,20012,20012
zeerak_racism,zeerak_sexism,1424,4142,15120,18602,20012,20012
zeerak_racism,davidson_toxicity,1849,4142,3853,18602,6366,20012
zeerak_racism,founta_abusive,2081,4142,9607,18602,10379,20012
zeerak_racism,ami,1049,4142,2701,18602,3577,20012
zeerak_racism,founta_toxicity,2313,4142,9464,18602,10379,20012
zeerak_racism,davidson_offensive,1793,4142,4295,18602,6366,20012
zeerak_racism,trac_covert,1953,4142,5816,18602,6731,20012
zeerak_racism,toxicity_obscene,2223,4142,10506,18602,11175,20012
zeerak_racism,toxicity_threat,856,4142,10554,18602,11175,20012
zeerak_racism,davidson_hate,885,4142,6043,18602,6366,20012
zeerak_racism,founta_hateful,1841,4142,9778,18602,10379,20012
zeerak_racism,toxicity_insult,2184,4142,10516,18602,11175,20012
zeerak_racism,toxicity_identityhate,1500,4142,10552,18602,11175,20012
zeerak_racism,toxicity_severetoxic,1215,4142,10549,18602,11175,20012
zeerak_racism,stormfront_post,1428,4142,5047,18602,5723,20012
zeerak_racism,zeerak_hate,4142,4142,15028,18602,20012,20012
zeerak_racism,trac_overt,1921,4142,5950,18602,6731,20012
zeerak_racism,trac_aggr,2196,4142,4902,18602,6731,20012
zeerak_racism,hateval_hate,1947,4142,5581,18602,6720,20012
zeerak_racism,toxicity_toxic,2500,4142,10472,18602,11175,20012
zeerak_racism,offenseval,1999,4142,6362,18602,7461,20012
zeerak_sexism,stormfront_sentence,1506,6958,5036,16531,5758,20012
zeerak_sexism,hateval_aggression,2034,6958,5837,16531,6720,20012
zeerak_sexism,zeerak_racism,1424,6958,15120,16531,20012,20012
zeerak_sexism,zeerak_sexism,6958,6958,16531,16531,20012,20012
zeerak_sexism,davidson_toxicity,3057,6958,3630,16531,6366,20012
zeerak_sexism,founta_abusive,3386,6958,8921,16531,10379,20012
zeerak_sexism,ami,1643,6958,2540,16531,3577,20012
zeerak_sexism,founta_toxicity,3593,6958,8775,16531,10379,20012
zeerak_sexism,davidson_offensive,2984,6958,4029,16531,6366,20012
zeerak_sexism,trac_covert,2577,6958,5579,16531,6731,20012
zeerak_sexism,toxicity_obscene,3240,6958,9792,16531,11175,20012
zeerak_sexism,toxicity_threat,1092,6958,9830,16531,11175,20012
zeerak_sexism,davidson_hate,1287,6958,5553,16531,6366,20012
zeerak_sexism,founta_hateful,2541,6958,9050,16531,10379,20012
zeerak_sexism,toxicity_insult,3163,6958,9800,16531,11175,20012
zeerak_sexism,toxicity_identityhate,1951,6958,9830,16531,11175,20012
zeerak_sexism,toxicity_severetoxic,1678,6958,9824,16531,11175,20012
zeerak_sexism,stormfront_post,1843,6958,4823,16531,5723,20012
zeerak_sexism,zeerak_hate,6958,6958,15027,16531,20012,20012
zeerak_sexism,trac_overt,2430,6958,5685,16531,6731,20012
zeerak_sexism,trac_aggr,2916,6958,4710,16531,6731,20012
zeerak_sexism,hateval_hate,2698,6958,5315,16531,6720,20012
zeerak_sexism,toxicity_toxic,3671,6958,9764,16531,11175,20012
zeerak_sexism,offenseval,2944,6958,6017,16531,7461,20012
davidson_toxicity,stormfront_sentence,2214,23298,3617,10114,5927,28623
davidson_toxicity,hateval_aggression,3112,23298,4030,10114,7000,28623
davidson_toxicity,zeerak_racism,1849,23298,3853,10114,6366,28623
davidson_toxicity,zeerak_sexism,3057,23298,3630,10114,6366,28623
davidson_toxicity,davidson_toxicity,23298,23298,10114,10114,28623,28623
davidson_toxicity,founta_abusive,7128,23298,6127,10114,12282,28623
davidson_toxicity,ami,2379,23298,2036,10114,3910,28623
davidson_toxicity,founta_toxicity,7711,23298,6073,10114,12282,28623
davidson_toxicity,davidson_offensive,22020,23298,10114,10114,28623,28623
davidson_toxicity,trac_covert,4073,23298,3602,10114,6449,28623
davidson_toxicity,toxicity_obscene,5896,23298,6236,10114,12190,28623
davidson_toxicity,toxicity_threat,1528,23298,6261,10114,12190,28623
davidson_toxicity,davidson_hate,3627,23298,10114,10114,28623,28623
davidson_toxicity,founta_hateful,4316,23298,6227,10114,12282,28623
davidson_toxicity,toxicity_insult,5699,23298,6240,10114,12190,28623
davidson_toxicity,toxicity_identityhate,3024,23298,6258,10114,12190,28623
davidson_toxicity,toxicity_severetoxic,2573,23298,6256,10114,12190,28623
davidson_toxicity,stormfront_post,2739,23298,3479,10114,5847,28623
davidson_toxicity,zeerak_hate,3688,23298,3497,10114,6366,28623
davidson_toxicity,trac_overt,3719,23298,3694,10114,6449,28623
davidson_toxicity,trac_aggr,4804,23298,3144,10114,6449,28623
davidson_toxicity,hateval_hate,4513,23298,3681,10114,7000,28623
davidson_toxicity,toxicity_toxic,6997,23298,6214,10114,12190,28623
davidson_toxicity,offenseval,4798,23298,4118,10114,7663,28623
founta_abusive,stormfront_sentence,2400,34708,8564,135145,9350,156302
founta_abusive,hateval_aggression,3577,34708,10912,135145,12157,156302
founta_abusive,zeerak_racism,2081,34708,9607,135145,10379,156302
founta_abusive,zeerak_sexism,3386,34708,8921,135145,10379,156302
founta_abusive,davidson_toxicity,7128,34708,6127,135145,12282,156302
founta_abusive,founta_abusive,34708,34708,135145,135145,156302,156302
founta_abusive,ami,2563,34708,3621,135145,5114,156302
founta_abusive,founta_toxicity,34708,34708,128037,135145,156302,156302
founta_abusive,davidson_offensive,6878,34708,6924,135145,12282,156302
founta_abusive,trac_covert,4875,34708,10502,135145,12507,156302
founta_abusive,toxicity_obscene,6887,34708,31935,135145,33934,156302
founta_abusive,toxicity_threat,1642,34708,32159,135145,33934,156302
founta_abusive,davidson_hate,2087,34708,11376,135145,12282,156302
founta_abusive,founta_hateful,5325,34708,130304,135145,156302,156302
founta_abusive,toxicity_insult,6631,34708,31943,135145,33934,156302
founta_abusive,toxicity_identityhate,3344,34708,32130,135145,33934,156302
founta_abusive,toxicity_severetoxic,2806,34708,32129,135145,33934,156302
founta_abusive,stormfront_post,2991,34708,8184,135145,9333,156302
founta_abusive,zeerak_hate,4195,34708,8360,135145,10379,156302
founta_abusive,trac_overt,4402,34708,11026,135145,12507,156302
founta_abusive,trac_aggr,5806,34708,8532,135145,12507,156302
founta_abusive,hateval_hate,5292,34708,9501,135145,12157,156302
founta_abusive,toxicity_toxic,8453,34708,31737,135145,33934,156302
founta_abusive,offenseval,5595,34708,10994,135145,13441,156302
ami,stormfront_sentence,1207,3837,2407,4729,3240,6950
ami,hateval_aggression,2179,3837,4720,4729,6936,6950
ami,zeerak_racism,1049,3837,2701,4729,3577,6950
ami,zeerak_sexism,1643,3837,2540,4729,3577,6950
ami,davidson_toxicity,2379,3837,2036,4729,3910,6950
ami,founta_abusive,2563,3837,3621,4729,5114,6950
ami,ami,3837,3837,4729,4729,6950,6950
ami,founta_toxicity,2675,3837,3586,4729,5114,6950
ami,davidson_offensive,2338,3837,2238,4729,3910,6950
ami,trac_covert,1827,3837,2585,4729,3575,6950
ami,toxicity_obscene,2306,3837,3662,4729,5074,6950
ami,toxicity_threat,946,3837,3682,4729,5074,6950
ami,davidson_hate,1155,3837,2874,4729,3910,6950
ami,founta_hateful,1980,3837,3674,4729,5114,6950
ami,toxicity_insult,2250,3837,3663,4729,5074,6950
ami,toxicity_identityhate,1540,3837,3680,4729,5074,6950
ami,toxicity_severetoxic,1363,3837,3680,4729,5074,6950
ami,stormfront_post,1393,3837,2353,4729,3218,6950
ami,zeerak_hate,1836,3837,2474,4729,3577,6950
ami,trac_overt,1753,3837,2626,4729,3575,6950
ami,trac_aggr,2027,3837,2281,4729,3575,6950
ami,hateval_hate,3805,3837,4720,4729,6936,6950
ami,toxicity_toxic,2562,3837,3646,4729,5074,6950
ami,offenseval,2135,3837,2785,4729,4027,6950
founta_toxicity,stormfront_sentence,2575,41092,8490,128037,9350,156302
founta_toxicity,hateval_aggression,3896,41092,10735,128037,12157,156302
founta_toxicity,zeerak_racism,2313,41092,9464,128037,10379,156302
founta_toxicity,zeerak_sexism,3593,41092,8775,128037,10379,156302
founta_toxicity,davidson_toxicity,7711,41092,6073,128037,12282,156302
founta_toxicity,founta_abusive,34708,41092,128037,128037,156302,156302
founta_toxicity,ami,2675,41092,3586,128037,5114,156302
founta_toxicity,founta_toxicity,41092,41092,128037,128037,156302,156302
founta_toxicity,davidson_offensive,7425,41092,6841,128037,12282,156302
founta_toxicity,trac_covert,5413,41092,10390,128037,12507,156302
founta_toxicity,toxicity_obscene,7653,41092,31266,128037,33934,156302
founta_toxicity,toxicity_threat,1723,41092,31471,128037,33934,156302
founta_toxicity,davidson_hate,2179,41092,11177,128037,12282,156302
founta_toxicity,founta_hateful,11633,41092,128037,128037,156302,156302
founta_toxicity,toxicity_insult,7360,41092,31282,128037,33934,156302
founta_toxicity,toxicity_identityhate,3645,41092,31448,128037,33934,156302
founta_toxicity,toxicity_severetoxic,2986,41092,31444,128037,33934,156302
founta_toxicity,stormfront_post,3224,41092,8117,128037,9333,156302
founta_toxicity,zeerak_hate,4591,41092,8237,128037,10379,156302
founta_toxicity,trac_overt,4894,41092,10899,128037,12507,156302
founta_toxicity,trac_aggr,6522,41092,8464,128037,12507,156302
founta_toxicity,hateval_hate,5820,41092,9375,128037,12157,156302
founta_toxicity,toxicity_toxic,9487,41092,31088,128037,33934,156302
founta_toxicity,offenseval,6161,41092,10869,128037,13441,156302
davidson_offensive,stormfront_sentence,2143,22020,3998,12039,5927,28623
davidson_offensive,hateval_aggression,3013,22020,4515,12039,7000,28623
davidson_offensive,zeerak_racism,1793,22020,4295,12039,6366,28623
davidson_offensive,zeerak_sexism,2984,22020,4029,12039,6366,28623
davidson_offensive,davidson_toxicity,22020,22020,10114,12039,28623,28623
davidson_offensive,founta_abusive,6878,22020,6924,12039,12282,28623
davidson_offensive,ami,2338,22020,2238,12039,3910,28623
davidson_offensive,founta_toxicity,7425,22020,6841,12039,12282,28623
davidson_offensive,davidson_offensive,22020,22020,12039,12039,28623,28623
davidson_offensive,trac_covert,3939,22020,3974,12039,6449,28623
davidson_offensive,toxicity_obscene,5680,22020,7061,12039,12190,28623
davidson_offensive,toxicity_threat,1497,22020,7102,12039,12190,28623
davidson_offensive,davidson_hate,2351,22020,10916,12039,28623,28623
davidson_offensive,founta_hateful,4183,22020,7059,12039,12282,28623
davidson_offensive,toxicity_insult,5487,22020,7066,12039,12190,28623
davidson_offensive,toxicity_identityhate,2920,22020,7096,12039,12190,28623
davidson_offensive,toxicity_severetoxic,2488,22020,7095,12039,12190,28623
davidson_offensive,stormfront_post,2650,22020,3829,12039,5847,28623
davidson_offensive,zeerak_hate,3584,22020,3878,12039,6366,28623
davidson_offensive,trac_overt,3601,22020,4078,12039,6449,28623
davidson_offensive,trac_aggr,4637,22020,3436,12039,6449,28623
davidson_offensive,hateval_hate,4365,22020,4107,12039,7000,28623
davidson_offensive,toxicity_toxic,6712,22020,7022,12039,12190,28623
davidson_offensive,offenseval,4614,22020,4582,12039,7663,28623
trac_covert,stormfront_sentence,2009,11696,5390,17081,6278,21721
trac_covert,hateval_aggression,2893,11696,6329,17081,7476,21721
trac_covert,zeerak_racism,1953,11696,5816,17081,6731,21721
trac_covert,zeerak_sexism,2577,11696,5579,17081,6731,21721
trac_covert,davidson_toxicity,4073,11696,3602,17081,6449,21721
trac_covert,founta_abusive,4875,11696,10502,17081,12507,21721
trac_covert,ami,1827,11696,2585,17081,3575,21721
trac_covert,founta_toxicity,5413,11696,10390,17081,12507,21721
trac_covert,davidson_offensive,3939,11696,3974,17081,6449,21721
trac_covert,trac_covert,11696,11696,17081,17081,21721,21721
trac_covert,toxicity_obscene,5147,11696,12411,17081,14888,21721
trac_covert,toxicity_threat,1363,11696,12480,17081,14888,21721
trac_covert,davidson_hate,1434,11696,5643,17081,6449,21721
trac_covert,founta_hateful,3520,11696,10643,17081,12507,21721
trac_covert,toxicity_insult,4984,11696,12413,17081,14888,21721
trac_covert,toxicity_identityhate,2712,11696,12467,17081,14888,21721
trac_covert,toxicity_severetoxic,2161,11696,12473,17081,14888,21721
trac_covert,stormfront_post,2512,11696,5181,17081,6281,21721
trac_covert,zeerak_hate,3331,11696,5258,17081,6731,21721
trac_covert,trac_overt,5369,11696,13959,17081,21721,21721
trac_covert,trac_aggr,11696,11696,12799,17081,21721,21721
trac_covert,hateval_hate,3971,11696,5774,17081,7476,21721
trac_covert,toxicity_toxic,6166,11696,12373,17081,14888,21721
trac_covert,offenseval,4251,11696,6505,17081,8245,21721
toxicity_obscene,stormfront_sentence,2487,17762,9887,157973,10729,161572
toxicity_obscene,hateval_aggression,3391,17762,11541,157973,12597,161572
toxicity_obscene,zeerak_racism,2223,17762,10506,157973,11175,161572
toxicity_obscene,zeerak_sexism,3240,17762,9792,157973,11175,161572
toxicity_obscene,davidson_toxicity,5896,17762,6236,157973,12190,161572
toxicity_obscene,founta_abusive,6887,17762,31935,157973,33934,161572
toxicity_obscene,ami,2306,17762,3662,157973,5074,161572
toxicity_obscene,founta_toxicity,7653,17762,31266,157973,33934,161572
toxicity_obscene,davidson_offensive,5680,17762,7061,157973,12190,161572
toxicity_obscene,trac_covert,5147,17762,12411,157973,14888,161572
toxicity_obscene,toxicity_obscene,17762,17762,157973,157973,161572,161572
toxicity_obscene,toxicity_threat,2294,17762,157940,157973,161572,161572
toxicity_obscene,davidson_hate,1890,17762,11705,157973,12190,161572
toxicity_obscene,founta_hateful,4482,17762,33105,157973,33934,161572
toxicity_obscene,toxicity_insult,14409,17762,157309,157973,161572,161572
toxicity_obscene,toxicity_identityhate,5195,17762,157832,157973,161572,161572
toxicity_obscene,toxicity_severetoxic,4781,17762,157947,157973,161572,161572
toxicity_obscene,stormfront_post,3132,17762,9428,157973,10719,161572
toxicity_obscene,zeerak_hate,4177,17762,9087,157973,11175,161572
toxicity_obscene,trac_overt,4719,17762,13064,157973,14888,161572
toxicity_obscene,trac_aggr,6227,17762,9733,157973,14888,161572
toxicity_obscene,hateval_hate,4875,17762,10022,157973,12597,161572
toxicity_obscene,toxicity_toxic,16744,17762,154423,157973,161572,161572
toxicity_obscene,offenseval,5502,17762,12133,157973,14834,161572
toxicity_threat,stormfront_sentence,938,2397,9917,161361,10729,161572
toxicity_threat,hateval_aggression,1179,2397,11605,161361,12597,161572
toxicity_threat,zeerak_racism,856,2397,10554,161361,11175,161572
toxicity_threat,zeerak_sexism,1092,2397,9830,161361,11175,161572
toxicity_threat,davidson_toxicity,1528,2397,6261,161361,12190,161572
toxicity_threat,founta_abusive,1642,2397,32159,161361,33934,161572
toxicity_threat,ami,946,2397,3682,161361,5074,161572
toxicity_threat,founta_toxicity,1723,2397,31471,161361,33934,161572
toxicity_threat,davidson_offensive,1497,2397,7102,161361,12190,161572
toxicity_threat,trac_covert,1363,2397,12480,161361,14888,161572
toxicity_threat,toxicity_obscene,2294,2397,157940,161361,161572,161572
toxicity_threat,toxicity_threat,2397,2397,161361,161361,161572,161572
toxicity_threat,davidson_hate,834,2397,11830,161361,12190,161572
toxicity_threat,founta_hateful,1329,2397,33382,161361,33934,161572
toxicity_threat,toxicity_insult,2296,2397,158235,161361,161572,161572
toxicity_threat,toxicity_identityhate,1611,2397,160779,161361,161572,161572
toxicity_threat,toxicity_severetoxic,1433,2397,160778,161361,161572,161572
toxicity_threat,stormfront_post,1094,2397,9453,161361,10719,161572
toxicity_threat,zeerak_hate,1275,2397,9123,161361,11175,161572
toxicity_threat,trac_overt,1322,2397,13124,161361,14888,161572
toxicity_threat,trac_aggr,1525,2397,9767,161361,14888,161572
toxicity_threat,hateval_hate,1424,2397,10069,161361,12597,161572
toxicity_threat,toxicity_toxic,2381,2397,154783,161361,161572,161572
toxicity_threat,offenseval,1473,2397,12175,161361,14834,161572
davidson_hate,stormfront_sentence,1052,3627,5494,27498,5927,28623
davidson_hate,hateval_aggression,1344,3627,6459,27498,7000,28623
davidson_hate,zeerak_racism,885,3627,6043,27498,6366,28623
davidson_hate,zeerak_sexism,1287,3627,5553,27498,6366,28623
davidson_hate,davidson_toxicity,3627,3627,10114,27498,28623,28623
davidson_hate,founta_abusive,2087,3627,11376,27498,12282,28623
davidson_hate,ami,1155,3627,2874,27498,3910,28623
davidson_hate,founta_toxicity,2179,3627,11177,27498,12282,28623
davidson_hate,davidson_offensive,2351,3627,10916,27498,28623,28623
davidson_hate,trac_covert,1434,3627,5643,27498,6449,28623
davidson_hate,toxicity_obscene,1890,3627,11705,27498,12190,28623
davidson_hate,toxicity_threat,834,3627,11830,27498,12190,28623
davidson_hate,davidson_hate,3627,3627,27498,27498,28623,28623
davidson_hate,founta_hateful,1645,3627,11835,27498,12282,28623
davidson_hate,toxicity_insult,1861,3627,11723,27498,12190,28623
davidson_hate,toxicity_identityhate,1346,3627,11817,27498,12190,28623
davidson_hate,toxicity_severetoxic,1172,3627,11815,27498,12190,28623
davidson_hate,stormfront_post,1193,3627,5238,27498,5847,28623
davidson_hate,zeerak_hate,1456,3627,5304,27498,6366,28623
davidson_hate,trac_overt,1370,3627,5826,27498,6449,28623
davidson_hate,trac_aggr,1587,3627,4759,27498,6449,28623
davidson_hate,hateval_hate,1669,3627,5719,27498,7000,28623
davidson_hate,toxicity_toxic,2079,3627,11619,27498,12190,28623
davidson_hate,offenseval,1736,3627,6570,27498,7663,28623
founta_hateful,stormfront_sentence,1957,11633,8661,151385,9350,156302
founta_hateful,hateval_aggression,2849,11633,11129,151385,12157,156302
founta_hateful,zeerak_racism,1841,11633,9778,151385,10379,156302
founta_hateful,zeerak_sexism,2541,11633,9050,151385,10379,156302
founta_hateful,davidson_toxicity,4316,11633,6227,151385,12282,156302
founta_hateful,founta_abusive,5325,11633,130304,151385,156302,156302
founta_hateful,ami,1980,11633,3674,151385,5114,156302
founta_hateful,founta_toxicity,11633,11633,128037,151385,156302,156302
founta_hateful,davidson_offensive,4183,11633,7059,151385,12282,156302
founta_hateful,trac_covert,3520,11633,10643,151385,12507,156302
founta_hateful,toxicity_obscene,4482,11633,33105,151385,33934,156302
founta_hateful,toxicity_threat,1329,11633,33382,151385,33934,156302
founta_hateful,davidson_hate,1645,11633,11835,151385,12282,156302
founta_hateful,founta_hateful,11633,11633,151385,151385,156302,156302
founta_hateful,toxicity_insult,4371,11633,33135,151385,33934,156302
founta_hateful,toxicity_identityhate,2616,11633,33357,151385,33934,156302
founta_hateful,toxicity_severetoxic,2131,11633,33349,151385,33934,156302
founta_hateful,stormfront_post,2368,11633,8273,151385,9333,156302
founta_hateful,zeerak_hate,3210,11633,8476,151385,10379,156302
founta_hateful,trac_overt,3326,11633,11137,151385,12507,156302
founta_hateful,trac_aggr,4090,11633,8590,151385,12507,156302
founta_hateful,hateval_hate,3888,11633,9649,151385,12157,156302
founta_hateful,toxicity_toxic,5185,11633,32859,151385,33934,156302
founta_hateful,offenseval,4000,11633,11154,151385,13441,156302
toxicity_insult,stormfront_sentence,2448,16638,9891,158311,10729,161572
toxicity_insult,hateval_aggression,3340,16638,11552,158311,12597,161572
toxicity_insult,zeerak_racism,2184,16638,10516,158311,11175,161572
toxicity_insult,zeerak_sexism,3163,16638,9800,158311,11175,161572
toxicity_insult,davidson_toxicity,5699,16638,6240,158311,12190,161572
toxicity_insult,founta_abusive,6631,16638,31943,158311,33934,161572
toxicity_insult,ami,2250,16638,3663,158311,5074,161572
toxicity_insult,founta_toxicity,7360,16638,31282,158311,33934,161572
toxicity_insult,davidson_offensive,5487,16638,7066,158311,12190,161572
toxicity_insult,trac_covert,4984,16638,12413,158311,14888,161572
toxicity_insult,toxicity_obscene,14409,16638,157309,158311,161572,161572
toxicity_insult,toxicity_threat,2296,16638,158235,158311,161572,161572
toxicity_insult,davidson_hate,1861,16638,11723,158311,12190,161572
toxicity_insult,founta_hateful,4371,16638,33135,158311,33934,161572
toxicity_insult,toxicity_insult,16638,16638,158311,158311,161572,161572
toxicity_insult,toxicity_identityhate,5292,16638,158189,158311,161572,161572
toxicity_insult,toxicity_severetoxic,4669,16638,158230,158311,161572,161572
toxicity_insult,stormfront_post,3070,16638,9433,158311,10719,161572
toxicity_insult,zeerak_hate,4072,16638,9094,158311,11175,161572
toxicity_insult,trac_overt,4561,16638,13065,158311,14888,161572
toxicity_insult,trac_aggr,5991,16638,9734,158311,14888,161572
toxicity_insult,hateval_hate,4724,16638,10028,158311,12597,161572
toxicity_insult,toxicity_toxic,15789,16638,154466,158311,161572,161572
toxicity_insult,offenseval,5357,16638,12136,158311,14834,161572
toxicity_identityhate,stormfront_sentence,1661,5827,9909,160945,10729,161572
toxicity_identityhate,hateval_aggression,2112,5827,11601,160945,12597,161572
toxicity_identityhate,zeerak_racism,1500,5827,10552,160945,11175,161572
toxicity_identityhate,zeerak_sexism,1951,5827,9830,160945,11175,161572
toxicity_identityhate,davidson_toxicity,3024,5827,6258,160945,12190,161572
toxicity_identityhate,founta_abusive,3344,5827,32130,160945,33934,161572
toxicity_identityhate,ami,1540,5827,3680,160945,5074,161572
toxicity_identityhate,founta_toxicity,3645,5827,31448,160945,33934,161572
toxicity_identityhate,davidson_offensive,2920,5827,7096,160945,12190,161572
toxicity_identityhate,trac_covert,2712,5827,12467,160945,14888,161572
toxicity_identityhate,toxicity_obscene,5195,5827,157832,160945,161572,161572
toxicity_identityhate,toxicity_threat,1611,5827,160779,160945,161572,161572
toxicity_identityhate,davidson_hate,1346,5827,11817,160945,12190,161572
toxicity_identityhate,founta_hateful,2616,5827,33357,160945,33934,161572
toxicity_identityhate,toxicity_insult,5292,5827,158189,160945,161572,161572
toxicity_identityhate,toxicity_identityhate,5827,5827,160945,160945,161572,161572
toxicity_identityhate,toxicity_severetoxic,2647,5827,160464,160945,161572,161572
toxicity_identityhate,stormfront_post,2005,5827,9448,160945,10719,161572
toxicity_identityhate,zeerak_hate,2429,5827,9124,160945,11175,161572
toxicity_identityhate,trac_overt,2600,5827,13117,160945,14888,161572
toxicity_identityhate,trac_aggr,3118,5827,9766,160945,14888,161572
toxicity_identityhate,hateval_hate,2746,5827,10066,160945,12597,161572
toxicity_identityhate,toxicity_toxic,5572,5827,154711,160945,161572,161572
toxicity_identityhate,offenseval,2974,5827,12173,160945,14834,161572
toxicity_severetoxic,stormfront_sentence,1368,4830,9913,160965,10729,161572
toxicity_severetoxic,hateval_aggression,1768,4830,11597,160965,12597,161572
toxicity_severetoxic,zeerak_racism,1215,4830,10549,160965,11175,161572
toxicity_severetoxic,zeerak_sexism,1678,4830,9824,160965,11175,161572
toxicity_severetoxic,davidson_toxicity,2573,4830,6256,160965,12190,161572
toxicity_severetoxic,founta_abusive,2806,4830,32129,160965,33934,161572
toxicity_severetoxic,ami,1363,4830,3680,160965,5074,161572
toxicity_severetoxic,founta_toxicity,2986,4830,31444,160965,33934,161572
toxicity_severetoxic,davidson_offensive,2488,4830,7095,160965,12190,161572
toxicity_severetoxic,trac_covert,2161,4830,12473,160965,14888,161572
toxicity_severetoxic,toxicity_obscene,4781,4830,157947,160965,161572,161572
toxicity_severetoxic,toxicity_threat,1433,4830,160778,160965,161572,161572
toxicity_severetoxic,davidson_hate,1172,4830,11815,160965,12190,161572
toxicity_severetoxic,founta_hateful,2131,4830,33349,160965,33934,161572
toxicity_severetoxic,toxicity_insult,4669,4830,158230,160965,161572,161572
toxicity_severetoxic,toxicity_identityhate,2647,4830,160464,160965,161572,161572
toxicity_severetoxic,toxicity_severetoxic,4830,4830,160965,160965,161572,161572
toxicity_severetoxic,stormfront_post,1627,4830,9450,160965,10719,161572
toxicity_severetoxic,zeerak_hate,1999,4830,9118,160965,11175,161572
toxicity_severetoxic,trac_overt,2078,4830,13117,160965,14888,161572
toxicity_severetoxic,trac_aggr,2495,4830,9761,160965,14888,161572
toxicity_severetoxic,hateval_hate,2263,4830,10063,160965,12597,161572
toxicity_severetoxic,toxicity_toxic,4830,4830,154789,160965,161572,161572
toxicity_severetoxic,offenseval,2417,4830,12174,160965,14834,161572
stormfront_post,stormfront_sentence,3023,4726,9342,11282,10749,12964
stormfront_post,hateval_aggression,2094,4726,5430,11282,6254,12964
stormfront_post,zeerak_racism,1428,4726,5047,11282,5723,12964
stormfront_post,zeerak_sexism,1843,4726,4823,11282,5723,12964
stormfront_post,davidson_toxicity,2739,4726,3479,11282,5847,12964
stormfront_post,founta_abusive,2991,4726,8184,11282,9333,12964
